# corpus prefix stripped from every path: /nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/
# F	<file>	<verdict>	<give-up detail>
# C	<file>	<repeat count>	<DTARG-CENSUS line>
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_612665_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=39 dt_result=0 dt_result_inexact=0 args=13 sym_exact=0 sym_inexact=0 ctor_exact=13 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_612665_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	6	DTARG-CENSUS pairs=9 dt_result=0 dt_result_inexact=0 args=7 sym_exact=0 sym_inexact=0 ctor_exact=7 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_6fdb94_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_6fdb94_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_6fdb94_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=38 dt_result=0 dt_result_inexact=0 args=13 sym_exact=0 sym_inexact=0 ctor_exact=13 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_6fdb94_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	10	DTARG-CENSUS pairs=4 dt_result=0 dt_result_inexact=0 args=5 sym_exact=0 sym_inexact=0 ctor_exact=5 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_7d0be2_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_7d0be2_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_7d0be2_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	2	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=0 sym_inexact=0 ctor_exact=2 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_7d0be2_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	8	DTARG-CENSUS pairs=2 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=0 ctor_exact=4 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_8b746e_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unsat	none
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_8b746e_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	7	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=289 dt_result=0 dt_result_inexact=0 args=37 sym_exact=0 sym_inexact=0 ctor_exact=37 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=29 dt_result=0 dt_result_inexact=0 args=11 sym_exact=0 sym_inexact=0 ctor_exact=11 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	6	DTARG-CENSUS pairs=4 dt_result=0 dt_result_inexact=0 args=5 sym_exact=0 sym_inexact=0 ctor_exact=5 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_a86be8_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_a86be8_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_a86be8_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	10	DTARG-CENSUS pairs=16 dt_result=0 dt_result_inexact=0 args=9 sym_exact=0 sym_inexact=0 ctor_exact=9 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_a86be8_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=199 dt_result=0 dt_result_inexact=0 args=31 sym_exact=0 sym_inexact=0 ctor_exact=31 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_bc0462_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_bc0462_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_bc0462_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	8	DTARG-CENSUS pairs=2 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=0 ctor_exact=4 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_bc0462_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=397 dt_result=0 dt_result_inexact=0 args=43 sym_exact=0 sym_inexact=0 ctor_exact=43 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_bc0462_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=46 dt_result=0 dt_result_inexact=0 args=13 sym_exact=0 sym_inexact=0 ctor_exact=13 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_cae2e1_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_cae2e1_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	12	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=0 sym_inexact=0 ctor_exact=2 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_d9175b_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_d9175b_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_d9175b_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	2	DTARG-CENSUS pairs=2 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=0 ctor_exact=4 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_d9175b_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	8	DTARG-CENSUS pairs=6 dt_result=0 dt_result_inexact=0 args=6 sym_exact=0 sym_inexact=0 ctor_exact=6 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_e7dc5f_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_e7dc5f_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_e7dc5f_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	10	DTARG-CENSUS pairs=10 dt_result=0 dt_result_inexact=0 args=7 sym_exact=0 sym_inexact=0 ctor_exact=7 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_e7dc5f_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=173 dt_result=0 dt_result_inexact=0 args=29 sym_exact=0 sym_inexact=0 ctor_exact=29 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_f4cbc4_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_f4cbc4_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_f4cbc4_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	10	DTARG-CENSUS pairs=10 dt_result=0 dt_result_inexact=0 args=7 sym_exact=0 sym_inexact=0 ctor_exact=7 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_f4cbc4_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=173 dt_result=0 dt_result_inexact=0 args=29 sym_exact=0 sym_inexact=0 ctor_exact=29 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/R529-008__subdirs__add.ads_4_29_postcondition___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/R625-017__flow_discr_nested__f.adb_5_14_postcondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: term #4106 has sort (Uninterpreted 4) that the pure-Rust BV backend cannot bit-blast
C	UFDTLIRA/20200306-Kanig/spark2014bench/R625-017__flow_discr_nested__f.adb_5_14_postcondition___00.smt2	56	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/R725-034__proof_warning__contradictions.ads_21_39_unreachable_branch___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/R903-021__flow_loop_array__dynamic_2d.adb_13_26_length_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: `is`/`select` over a non-variable datatype term (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/R903-021__flow_loop_array__dynamic_2d.adb_13_26_length_check___00.smt2	12	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/RA12-018__init_loop__init_pred_in_loop.adb_30_11_predicate_check___00.smt2	unsat	none
C	UFDTLIRA/20200306-Kanig/spark2014bench/RA12-018__init_loop__init_pred_in_loop.adb_30_11_predicate_check___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/RA29-007__mutable_borrowers__walker.adb_17_9_null_pointer_dereference___00.smt2	unsat	none
C	UFDTLIRA/20200306-Kanig/spark2014bench/RA29-007__mutable_borrowers__walker.adb_17_9_null_pointer_dereference___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/RC17-014__init_by_proof__nested_init_by_proof.adb_55_11_discriminant_check___00.smt2	unsat	none
C	UFDTLIRA/20200306-Kanig/spark2014bench/RC17-014__init_by_proof__nested_init_by_proof.adb_55_11_discriminant_check___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/RC17-022__private_pointer__private_pointer.ads_16_56_range_check___00.smt2	unsat	none
C	UFDTLIRA/20200306-Kanig/spark2014bench/RC17-022__private_pointer__private_pointer.ads_16_56_range_check___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/RC17-022__private_pointer__private_pointer.ads_16_56_range_check___00.smt2	3	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=1 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/RM_Examples__up_timer.adb_14_36_overflow_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/S114-021__spark_mode_pointer__a-cofuve.ads_232_54_spark_boundary.ads_3_4_overflow_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/S305-038__allocators__alloc_range_check.adb_12_12_range_check___00.smt2	unsat	none
C	UFDTLIRA/20200306-Kanig/spark2014bench/S305-038__allocators__alloc_range_check.adb_12_12_range_check___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/S325-002__dyn_inv_pointer__rec_inv.adb_28_18_null_pointer_dereference___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/S325-002__dyn_inv_pointer__rec_inv.adb_28_18_null_pointer_dereference___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/S325-002__dyn_inv_pointer__rec_inv.adb_28_18_null_pointer_dereference___00.smt2	12	DTARG-CENSUS pairs=1 dt_result=0 dt_result_inexact=0 args=2 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=2 other_kinds=DtSelect ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/S325-002__red_black_trees__red_black_trees.adb_31_33_null_pointer_dereference___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/S325-002__red_black_trees__red_black_trees.adb_31_33_null_pointer_dereference___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/S325-002__red_black_trees__red_black_trees.adb_31_33_null_pointer_dereference___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/S325-002__red_black_trees__red_black_trees.adb_31_33_null_pointer_dereference___00.smt2	2	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/S325-002__red_black_trees__red_black_trees.adb_31_33_null_pointer_dereference___00.smt2	28	DTARG-CENSUS pairs=6 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=3 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/S415-012__early_exit__early_exits.adb_10_64_null_pointer_dereference___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/S415-012__early_exit__early_exits.adb_10_64_null_pointer_dereference___00.smt2	6	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/S415-012__early_exit__early_exits.adb_10_64_null_pointer_dereference___00.smt2	12	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=0 sym_inexact=0 ctor_exact=1 ctor_inexact=1 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/S415-012__early_exit__early_exits.adb_10_64_null_pointer_dereference___00.smt2	8	DTARG-CENSUS pairs=120 dt_result=0 dt_result_inexact=0 args=34 sym_exact=1 sym_inexact=1 ctor_exact=16 ctor_inexact=16 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/S415-012__early_exit__early_exits.adb_10_64_null_pointer_dereference___00.smt2	12	DTARG-CENSUS pairs=121 dt_result=0 dt_result_inexact=0 args=36 sym_exact=2 sym_inexact=2 ctor_exact=16 ctor_inexact=16 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/S415-012__iterate_list__list_ex_pledge.ads_19_35_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/S415-012__iterate_list__list_ex_pledge.ads_19_35_precondition___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/S415-012__iterate_list__list_ex_pledge.ads_19_35_precondition___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/S415-012__iterate_list__list_ex_pledge.ads_19_35_precondition___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=2 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/S415-012__iterate_list__list_ex_pledge.ads_19_35_precondition___00.smt2	8	DTARG-CENSUS pairs=1 dt_result=0 dt_result_inexact=0 args=3 sym_exact=2 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=1 other_kinds=DtSelect ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/S415-012__iterate_list__list_ex_pledge.ads_19_35_precondition___00.smt2	2	DTARG-CENSUS pairs=4 dt_result=0 dt_result_inexact=0 args=5 sym_exact=4 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=1 other_kinds=DtSelect ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/S415-012__iterate_list__list_ex_pledge.ads_19_35_precondition___00.smt2	6	DTARG-CENSUS pairs=9 dt_result=0 dt_result_inexact=0 args=10 sym_exact=6 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=1 other=3 other_kinds=DtSelect ELIGIBLE=0 ELIGIBLE_B=0
